x=0.456011, y=-1.69497, z=-0.341184
x=0.465548, y=-1.69497, z=-0.34167
x=0.475109, y=-1.69496, z=-0.342165
x=0.484698, y=-1.69495, z=-0.342671
x=0.494312, y=-1.69493, z=-0.343186
x=0.503956, y=-1.69491, z=-0.343711
x=2.21025, y=-1.69728, z=-0.342169
x=2.21205, y=-1.68641, z=-0.341534
x=3.56616, y=-1.6868, z=-0.345139
x=2.20972, y=-1.67247, z=-0.34027
x=-1.39378, y=-1.66268, z=-0.34363
x=-1.38537, y=-1.66441, z=-0.342986
x=-1.37439, y=-1.663, z=-0.341703
x=-1.36601, y=-1.66467, z=-0.341065
x=-0.603585, y=-1.66184, z=-0.343674
x=-0.593806, y=-1.66199, z=-0.343059
x=-0.584054, y=-1.66213, z=-0.342451
x=-0.574335, y=-1.66226, z=-0.341854
x=-0.564643, y=-1.66238, z=-0.341264
x=-0.554984, y=-1.66249, z=-0.340685
x=-0.54535, y=-1.66258, z=-0.340114
x=3.56137, y=-1.66934, z=-0.34411
x=2.26646, y=-1.65396, z=-0.344507
x=3.56189, y=-1.65444, z=-0.3436
x=2.26807, y=-1.64303, z=-0.343877
x=-1.42622, y=-1.63071, z=-0.343125
x=-1.41784, y=-1.6326, z=-0.342478
x=-1.40681, y=-1.63138, z=-0.341189
x=-1.39847, y=-1.6332, z=-0.340547
x=-0.684734, y=-1.63189, z=-0.343998
x=-0.674821, y=-1.63217, z=-0.343309
x=-0.664938, y=-1.63244, z=-0.342627
x=-0.655089, y=-1.63269, z=-0.341955
x=-0.645268, y=-1.63292, z=-0.34129
x=-0.635483, y=-1.63313, z=-0.340635
x=2.26964, y=-1.63211, z=-0.343249
x=3.5624, y=-1.63957, z=-0.343094
x=3.56287, y=-1.62474, z=-0.342592
x=2.26705, y=-1.61826, z=-0.342
x=-1.46134, y=-1.60185, z=-0.343422
x=-1.45023, y=-1.60086, z=-0.342121
x=-1.44189, y=-1.60288, z=-0.341474
x=-1.43085, y=-1.60182, z=-0.340183
x=-0.752756, y=-1.60229, z=-0.344112
x=-0.746075, y=-1.60259, z=-0.343615
x=-0.736082, y=-1.60302, z=-0.342875
x=-0.725091, y=-1.60115, z=-0.341658
x=-0.715186, y=-1.60155, z=-0.34094
x=-0.705309, y=-1.60193, z=-0.340228
x=2.26856, y=-1.60741, z=-0.341379
x=3.56333, y=-1.60994, z=-0.342093
x=2.27004, y=-1.59658, z=-0.34076
x=3.56376, y=-1.59517, z=-0.341597
x=3.56417, y=-1.58043, z=-0.341105
x=-1.49648, y=-1.57287, z=-0.343857
x=-1.48531, y=-1.57209, z=-0.342551
x=-1.477, y=-1.57427, z=-0.3419
x=-1.46591, y=-1.57343, z=-0.340602
x=-0.80398, y=-1.57347, z=-0.343465
x=-0.79391, y=-1.57406, z=-0.342681
x=-0.786031, y=-1.57207, z=-0.341648
x=-0.776041, y=-1.57263, z=-0.340882
x=-0.766081, y=-1.57317, z=-0.340123
x=2.3284, y=-1.57759, z=-0.345333
x=2.32974, y=-1.56664, z=-0.344717
x=3.56456, y=-1.56573, z=-0.340617
x=2.32689, y=-1.55296, z=-0.343492
x=3.56493, y=-1.55106, z=-0.340133
x=-1.52329, y=-1.54606, z=-0.34376
x=-1.5121, y=-1.54547, z=-0.342452
x=-1.50097, y=-1.54485, z=-0.34115
x=-0.861797, y=-1.54414, z=-0.343731
x=-0.855032, y=-1.54467, z=-0.343183
x=-0.844912, y=-1.54543, z=-0.342366
x=-0.834821, y=-1.54617, z=-0.341555
x=-0.828113, y=-1.54664, z=-0.341018
x=2.32817, y=-1.54208, z=-0.342883
x=2.32942, y=-1.53123, z=-0.342277
x=2.33063, y=-1.5204, z=-0.341673
x=-0.904032, y=-1.5185, z=-0.343516
x=-0.897238, y=-1.51914, z=-0.342948
x=-0.885623, y=-1.51757, z=-0.341542
x=-0.875512, y=-1.51847, z=-0.340707
x=-0.868791, y=-1.51904, z=-0.340153
x=2.32773, y=-1.50694, z=-0.340473
x=-0.946274, y=-1.49293, z=-0.343578
x=-0.935262, y=-1.49278, z=-0.342414
x=-0.924293, y=-1.49261, z=-0.341257
x=-0.914155, y=-1.49366, z=-0.340398
x=1.54614, y=-1.49961, z=-0.341148
x=1.57416, y=-1.4951, z=-0.343855
x=1.57338, y=-1.48393, z=-0.342549
x=1.57256, y=-1.47282, z=-0.341248
x=2.39315, y=-1.47907, z=-0.345432
x=-0.981668, y=-1.46812, z=-0.343292
x=-0.973148, y=-1.46644, z=-0.342101
x=-0.966346, y=-1.46729, z=-0.34151
x=-0.95617, y=-1.46852, z=-0.340627
x=-0.252306, y=-1.46748, z=-0.343765
x=-0.244389, y=-1.46743, z=-0.343448
x=-0.233856, y=-1.46736, z=-0.343041
x=-0.223347, y=-1.46729, z=-0.342653
x=-0.212863, y=-1.46724, z=-0.342284
x=-0.205014, y=-1.4672, z=-0.342019
x=-0.19718, y=-1.46716, z=-0.341766
x=-0.186837, y=-1.4678, z=-0.341603
x=-0.176419, y=-1.46773, z=-0.341292
x=-0.16602, y=-1.46767, z=-0.340999
x=-0.155639, y=-1.46762, z=-0.340726
x=-0.145275, y=-1.46757, z=-0.340472
x=-0.134949, y=-1.46778, z=-0.340294
x=-0.124633, y=-1.46797, z=-0.340127
x=0.127189, y=-1.46775, z=-0.340127
x=0.134942, y=-1.46779, z=-0.340294
x=0.142705, y=-1.46783, z=-0.340472
x=0.153068, y=-1.46789, z=-0.340726
x=0.163414, y=-1.46765, z=-0.340928
x=0.173772, y=-1.4674, z=-0.341143
x=0.184181, y=-1.46745, z=-0.341445
x=0.19461, y=-1.46751, z=-0.341766
x=0.20506, y=-1.46757, z=-0.342107
x=0.215532, y=-1.46764, z=-0.342466
x=0.225902, y=-1.4669, z=-0.342653
x=0.23641, y=-1.46695, z=-0.343041
x=0.246944, y=-1.467, z=-0.343448
x=0.254861, y=-1.46704, z=-0.343765
x=1.57469, y=-1.46453, z=-0.3406
x=2.39007, y=-1.46565, z=-0.344247
x=1.60311, y=-1.45994, z=-0.34342
x=2.39108, y=-1.45481, z=-0.343659
x=-1.01359, y=-1.44382, z=-0.342903
x=-1.00158, y=-1.44273, z=-0.341391
x=-0.994781, y=-1.44367, z=-0.340791
x=-0.987995, y=-1.4446, z=-0.340192
x=-0.363938, y=-1.44272, z=-0.343511
x=-0.355911, y=-1.44272, z=-0.343064
x=-0.345239, y=-1.44272, z=-0.342482
x=-0.334601, y=-1.44272, z=-0.341918
x=-0.324123, y=-1.44328, z=-0.341506
x=-0.313666, y=-1.44381, z=-0.341105
x=-0.303111, y=-1.44377, z=-0.340586
x=-0.295215, y=-1.44373, z=-0.340208
x=0.297728, y=-1.44322, z=-0.340208
x=0.305624, y=-1.44324, z=-0.340586
x=0.316179, y=-1.44326, z=-0.341105
x=0.326767, y=-1.44329, z=-0.341642
x=0.334728, y=-1.44331, z=-0.342057
x=0.342711, y=-1.44332, z=-0.342482
x=0.353384, y=-1.44334, z=-0.343064
x=0.364093, y=-1.44336, z=-0.343663
x=1.60211, y=-1.44882, z=-0.342119
x=2.39206, y=-1.44398, z=-0.343073
x=1.60108, y=-1.43776, z=-0.340825
x=1.63312, y=-1.4359, z=-0.344422
x=2.39302, y=-1.43318, z=-0.342491
x=-1.03861, y=-1.42064, z=-0.342072
x=-1.02316, y=-1.42021, z=-0.34024
x=-0.446659, y=-1.42009, z=-0.343688
x=-0.435806, y=-1.42017, z=-0.342962
x=-0.424996, y=-1.42024, z=-0.342253
x=-0.414225, y=-1.42029, z=-0.341561
x=-0.403495, y=-1.42034, z=-0.340886
x=-0.392804, y=-1.42037, z=-0.340228
x=1.60306, y=-1.42945, z=-0.34018
x=1.63194, y=-1.42479, z=-0.343123
x=2.39395, y=-1.4224, z=-0.341911
x=-1.05229, y=-1.41844, z=-0.343304
x=-1.04545, y=-1.41955, z=-0.342687
x=-1.02995, y=-1.41916, z=-0.340848
x=0.395276, y=-1.41969, z=-0.340228
x=0.405967, y=-1.41963, z=-0.340886
x=0.41401, y=-1.41959, z=-0.34139
x=1.63074, y=-1.41374, z=-0.341831
x=3.71385, y=-1.41906, z=-0.347831
x=1.63259, y=-1.40538, z=-0.341187
x=2.39083, y=-1.40927, z=-0.340759
x=3.71401, y=-1.40428, z=-0.347384
x=-1.08261, y=-1.39714, z=-0.343566
x=-1.0738, y=-1.39582, z=-0.342317
x=-1.06357, y=-1.39761, z=-0.341386
x=-0.512496, y=-1.39583, z=-0.343287
x=-0.504278, y=-1.396, z=-0.342676
x=-0.493357, y=-1.39622, z=-0.341874
x=-0.485195, y=-1.39637, z=-0.341283
x=-0.477059, y=-1.39651, z=-0.340702
x=-0.468946, y=-1.39663, z=-0.340128
x=1.66388, y=-1.39233, z=-0.343627
x=2.39172, y=-1.39856, z=-0.340188
x=1.66249, y=-1.38132, z=-0.342341
x=3.71416, y=-1.38953, z=-0.346942
x=-1.10409, y=-1.37461, z=-0.342714
x=-1.09727, y=-1.37592, z=-0.342085
x=-1.08506, y=-1.37533, z=-0.340521
x=-0.562934, y=-1.37513, z=-0.343046
x=-0.554641, y=-1.37539, z=-0.34238
x=-0.546378, y=-1.37563, z=-0.341722
x=-0.535398, y=-1.37592, z=-0.340858
x=-0.527192, y=-1.37613, z=-0.340219
x=1.66418, y=-1.37293, z=-0.341701
x=3.71429, y=-1.37481, z=-0.346503
x=1.66274, y=-1.36201, z=-0.340426
x=2.45899, y=-1.36958, z=-0.345598
x=3.7144, y=-1.36012, z=-0.346069
